userName,score,at,content
Brillian Dirra,5,2024-04-07 04:31:49,Aplikasi bagus cuma kadang suka error
Ipan Sutiana,1,2024-04-06 02:32:16,"Sudah hampir sebulan transaksi penjualan kecilpun belum ter proses Untung gak banyak investasi di sini Dibatalin gak bisa, di jual susah Tapi anehnya kalu beli cepet banget"
Tama Aja,1,2024-04-05 10:21:41,"Masak verifikasi foto ktp gagal terus, padahal posisi bener kecerahan bener kejelasan tulisan KTPnya juga bener tapi masih aja salah, minta tolong deh defolopernya apa pegawainya benerin tuh masalah scannernya dulu"
bayu feriyan,3,2024-04-04 09:31:18,Customer service ajaib gak bisa respon. Saat nya pindah sekuritas
CHANEL KUAH PLIK,1,2024-04-04 09:27:46,saya pikir semakin update semakin bagus.. ternyata tidak..kita hrus beljar lagi dengan gaya2 terbaru dari aplikasi..kapan jual/beli.. kebanyakan update..reting 1 bintang aja
Huda Utami,1,2024-04-04 04:39:15,Respon CS ajaib lelet Saya top up tapi tidak masuk masuk ke RDN Saya jadi kapok pakai ajaib Ternyata banyak juga komen yang saldonya tidak masuk ke RDN Saya sudah kirim email ke ajaib tapi tidak ada respon sedikit pun Ngchat pun sama!
Sakdan Stg,3,2024-04-04 01:44:41,Tolong bug nya diperbaiki
Dv Kontoru,1,2024-04-04 00:35:06,"Mau daftar tapi udah kaya pinjol aja jir nama ortu sama kerjaan dan penghasilan ditanyain, ga kaya exchange crypto cukup data pribadi aja tanpa ditanya kerjaan, kita mau investasi bukan mau pinjol kocak 🤣"
korek Gaming YT,5,2024-04-03 15:22:38,Trading gampang tanpa ribet cuman pakai ajaib awal nya ragu tapi bisa langsung cuan
Ahmad Indra,1,2024-04-03 12:23:39,Pencairan saldo terlalu lama dan tidak bisa dipercepat. Padahal aplikasi lain bisa
Sahabat Baja,1,2024-04-03 08:59:08,"Sudah instal dan sudah invest, tapitampilan berubah sendiri. Padahal sudah beli tapi gak masuk². Aplikasi lambat sekali saat jam sibuk."
Rendy Adi S.,2,2024-04-03 08:29:18,"Proses untuk registrasi akun baru terlalu lama, kami sebagai investor paling ga bisa menunggu lama tolong diperbaiki lagi sistem registrasinya"
Den Baguz,1,2024-04-03 03:50:10,Anjirrr potongan biaya broker dan PPN nya gede amat sekarang. Emang keterangannya potongan hanya 11%. Tapi keuntungan gw yang kepotong kok 50% sendiri. Pindahlah
Afa Black,1,2024-04-02 20:16:49,Loh saldoku/portofolioku hilang tanpa ada keterangan transaksi
LUTFI PRI,2,2024-04-02 16:30:08,"Ganti nomor hp aja sulit padahal sudah masuk aplikasi, sedangkan aplikasi lain biasnya langsung didalam aplikasinya sudah bisa ganti nomor hp"
Maetis AL Jabbar,1,2024-04-02 14:08:52,"Ajaib gimana nih saham nusantara insfrastruktur (meta) gabisa dijual,, padahal sekuritas lain sudah menawarkan penjualanya melalui email"
Akhmad Abdul Fatakh,1,2024-04-02 12:44:56,"Aplikasinya gimana ya ini tolong di perbaiki, mau melengkapi data diri aja susah, aplikasi bolak balik terus ke halaman awal foto ktp. Di ulangi masih tetap sama, udah ttd tinggal klik selesai masih aja ada kolom yg belum terisi income, nomer telepon, invalid. Minat udah hilang"
Akbar Romadhon,1,2024-04-02 06:16:12,"proses penarikan lama banget, buruk lah"
Sahabat Creative,1,2024-04-01 03:16:13,"Jangan pakai aplikasi ini, karna saham yang beberapa kali ARA tiba tiba di Band, alias ga bisa di perjual belikan namun harga saham di turunkan nilainya tanpa bisa di acses oleh si pemilik saham, selama masih di Band saham tersebut nilainya ARB setiap hari, sementara si peilik saham ga bisa menjual, sungguh suatu penipuan yg sangat licik, saya mengalami pada saham NIKL dari tgl 27 Maret sampai hari ini tgl 1 April masih ga bisa di jual tapi harga nya di turunin ke ARB."
Lord Hermit,1,2024-04-01 02:26:16,"Fitur bayar dengan QRIS sangat mengganggu tampilan. Saya menggunakan Aplikasi ini untuk Trading dan Investing Saham, bukan untuk membayar transaksi."
Abdullah Fawaid,1,2024-03-31 20:43:02,"Parah sih daftar di suruh foto KTP Mulu , selesai upload suruh foto lagi gitu aja terus sampe lebaran"
Nuzul Mabrury,1,2024-03-31 17:31:20,"Saya daftar akun dari 2 bulan lalu sampe sekarang belum juga terverifikasi, padahal udah lengkap semua. Disuruh nunggu 48 jam tapi sampe sekarang udah 2 bulan nggak ada verifikasi."
Ara channel,2,2024-03-29 04:14:55,"Masih belum tau, kasih bintang 2 dl karena banyak yg kasih bintang 1, nanti di update lg"
Acep aby Riskia,1,2024-03-28 10:49:51,Aplikasi ajaib sekarang kebanyakan errol nya g seperti dulu begitu ada keluhan nasabah langsunh ada respon tapi sekarang harus nunggu anyrian di kolum chat dan mengenai dividen lambat masuk ke RDN ga seperti ga seperti akun sekuritas yg lain begitu ada keluhan langsung d respon sampai saat ini dividen saya belum juga masuk ke RDN padahal di kolom riwayat sudah ada apakah akan errol selamnya sudah hampir 4 tahun saya menggunakan akun ajaib mohon di perbaiki cara kerjanya
Damar San,5,2024-03-28 10:47:04,Sangat mudah digunakan untuk menabung
Umar Habibi B,1,2024-03-28 05:58:25,"Jangan mau dibodohin dan dititpu. Uang saya 97 ribu aja dari reksadana gk masuk2 ke rekening. Padahal katanya maksimal 7 hari. Preet, udah 2 minggu gk ada masuk, ribet sekali. Giliran deposit sat set, pas pencairan dari sabang sampai merauke. Gila bener ya, uang kecil aja ampe berminggu2 gk cair. Apalagi uang jumlah gede"
Eryo Budianto,1,2024-03-28 01:04:18,"Aplikasi autis, masa iya mau daftar aja disuruh foto ktp terus udah upload foto ktp habis itu disuruh foto lagi dasar eror, mirip kaya developer nya"
Brbvs3,2,2024-03-27 11:46:24,"Mohon maaf saya kasih rating bintang 2 Ini persoalan saldo RDN saya yang tiba2 hilang Padahal saya cek di aplikasi KSEI saldo di rekening dana nasabah saya tersedia sebesar Rp.668.000 Tapi pas saya cek di aplikasi saldo RDN saya kosong, Mohon solusinya Saya sudah chat via cs/email tapi sampe sekarang tidak ada jawaban sama sekali, Katanya saldo/portofolio akan muncul di jam bursa, Tapi seharian di jam bursa saya cek berulang kali tetep tidak muncul saldo RDN saya Mohon dibantu untuk mengenai ini"
Nanang Krisdian,1,2024-03-27 09:49:53,"Sering eror, TP/SL tidak sesuai.untuk kendala mohon fitur chat dan customer via apk dan email di respon cepat.bukan lelet ini untuk kemajuan ajaib.apabila ada kendala kurang respon.investor kalo seperti ini lebih baik tidak di sarankan memakai ajaib"
karel antonio,1,2024-03-27 05:41:28,Register nya ga bisa2. Error error bagian foto selfi. Ud uninstal trua download lg masihh samaa
Faisal Hamzah,2,2024-03-27 01:57:08,"Order ipo batal gara2 saldo ga cukup ada estimasi biaya transaksinya harusnya ky sebelah order 1 jt yg ketarik 1 jt jg, ada fee ipo jg alasannya demi memperbaiki sistem, persaan gitu2 aja ajaib ga ada progress lebih baik bahkan ketinggalan sm yg sebelah"
Berkas Aditya,1,2024-03-26 17:41:22,"Tolong untuk ajaib, pemesanan e-IPO harusnya uangnya langsung ditarik saat itu juga, ga harus nunggu tanggal terakhir pemesanan, saya gagal berkali kali pesen ipo gara gara hal tersebut, coba ditiru aplikasi sebelah kalo udah diperbaiki baru saya kasih bintang 5"
Wahyu Ramadhan,3,2024-03-26 10:05:01,"Saya beberapa hari lalu mencoba day tranding di ajaib, ketika saya loss saldo RDN berkurang dan saham saya otomatis terjual, ketika ke esok harinýa saya day tranding lagi, saya memperoleh profit dan SALDO RDN berkurang dan saham saya juga terjual otomatis lagi, dan hasil profit saya juga tidak kunjung masuk ke RDN saya"
Jayady Wongkojoyo,1,2024-03-26 09:13:16,Lot yang saya punya tidak bisa dijual .. Gatau mau komplain kemana
Andi Randovlsky,5,2024-03-26 08:34:14,"Ai nya baguss, Saran untuk Watchlist di tambah agar lebih mudah melakukan Pengelompokkan emitten"
Anang Prabowo,3,2024-03-25 06:15:39,Saya melakukan penjualan reksa dana..tetapi hasil penjualan kok ndak ada..meskipun nilainya sangat kecil..
Raja Andika,1,2024-03-25 04:06:15,Update terbaru nggak bisa ngasi lihat bid ask nya
Ibnu Setiawan,5,2024-03-24 21:30:32,Aplikasi cukup baik dan mudah dipahami untuk pemula
rahmat 123,2,2024-03-24 19:25:30,Kok punya saya ga bisa login ya kenapa padahal udah saya investasi saya caranya gimana ya
Yans s,2,2024-03-24 03:21:05,Terhalang pendaftaran di tanda tangan udah berkali-kali sya samain di KTP masih tetep gak bisa tolong infonya supaya selesai ini pendaftarannya
Edward Pascalino,1,2024-03-23 14:30:41,"Saya butuh memulihkan akun ajaib saya, sekarang saya tidak bisa login dikarenakan akun lama saya terkena hacking, saya minta bantuannya untuk mempermudah saya untuk login ke akun saya"
Brave exvius,1,2024-03-23 09:20:44,"Alpikasi sangat buruk cs tidak bagus sama sekali alpikasi ini sangat jelek jika untuk berinvetasi, mending cari alpikasi lain aja, trus untuk penjualan saham nya juga buruk, bisa berubah"" katanya maksimal 2 hari kerja dan sudah sampai 2 hari kerja dana pun masih sedang di proses, sangat tidak jelas alpikasi ini"
Riantoro Tmob,1,2024-03-22 17:27:10,"Udah seminggu lebih kenapa akun saya masih verifikasi terus,maka katanya membutuhkan cuma 48 jam,ini malah seminggu lebih ga ada perubahan"
hadi junaedi,1,2024-03-22 14:41:42,"Pendaftaran terlalu lama, hampir 3 hari belum selesai juga"
Hafidh Ibnul Marduwaih,1,2024-03-22 03:16:17,"Tolong kak solusinya, saya lupa pake akun saya yang mana untuk menggunakan ajaib, alhasil saya ingin menggunakan apk ajaib dengan akun yang berbeda tidak dapat diterima dikarenakan NIK saya sudah pernah di gunakan di akun lain"
Arifin zaenul,1,2024-03-21 23:43:27,Very fikasi tersulit di bandingkan aplikasi lainnya
Tias ekaputri,1,2024-03-21 20:24:56,Kenapa dana saya jadi 0? Portofolio saya jadi hilang? padahal selama 2 tahun gak ada transaksi apapun. Kemana uang saya?
Vebi Hardiansyah,5,2024-03-21 19:36:31,Bagun dan mudah di pahami
